gene	query	kegg_org_hit	gene_hit	percent_id	e_vlaue
48	ASF356	awo	n6_adenine-specific_dna_methylase|d12_class_(ec:2.1.1.72)	53.2	7.5e-69
49	ASF356	rob	domain_of_unknown_function_(duf955)./antirestriction_protein_(arda).	75.5	4.7e-39
50	ASF356	efc	hypothetical_protein	68.5	7.9e-130
51	ASF356	efc	hypothetical_protein	54.1	1.2e-114
52	ASF356	rbr	hypothetical_protein	56.8	7.7e-45
53	ASF356	eel	hypothetical_protein	39.3	3.2e-19
54	ASF356	axl	mate_family_transporter	41.2	1.1e-102
55	ASF356	rho	cytidylate_kinase	48.0	2.8e-45
56	ASF356	fpr	response_regulators_consisting_of_a_chey-like_receiver_domain_and_a_winged-helix_dna-binding_domain	47.2	1.2e-20
57	ASF356	rbr	relaxase/mobilisation_nuclease_domain.	61.2	3.2e-155
58	ASF356	rto	bacterial_mobilisation_protein_(mobc).	67.0	1.8e-35
59	ASF360	lke	hypothetical_protein	49.6	6.4e-22
60	ASF360	lke	arsr_family_transcriptional_regulator	49.6	8.6e-63
61	ASF360	suj	abc_transporter	42.6	1.2e-27
62	ASF360	lga	udp-n-acetylglucosamine:lps_n-acetylglucosamine_transferase	97.3	5.2e-81
63	ASF360	lai	glycosyl_transferase_family_protein	84.1	1.0e-74
64	ASF360	ljh	polysaccharide_biosynthesis_protein	88.8	9.0e-128
65	ASF360	ljh	putative_beta-glycosyltransferase	78.0	5.5e-135
66	ASF360	ljh	glycosyltransferase	60.6	6.9e-113
67	ASF360	spd	cps2i|glycoside_hydrolase_family_protein_(ec:2.4.1.-)	39.5	2.6e-76
68	ASF360	ljf	hypothetical_protein	58.1	4.1e-50
69	ASF360	ljh	galactofuranose_transferase	36.8	1.2e-51
70	ASF360	lcr	glf|udp-galactopyranose_mutase	91.9	8.5e-202
71	ASF360	lac	epsi|oligosaccharide_repeat-containing_polymerase	88.0	1.1e-246
72	ASF360	lga	hypothetical_protein	71.0	4.3e-144
73	ASF360	ljf	hypothetical_protein	55.7	7.6e-141
74	ASF360	lcr	hypothetical_protein	35.0	5.5e-25
75	ASF360	lac	prophage_related_protein	87.1	4.8e-36
76	ASF361	lmf	hypothetical_protein	47.9	1.0e-90
77	ASF361	std	integrase	72.8	2.6e-115
78	ASF361	tde	type_i_restriction-modification_system|s_subunit	46.4	1.5e-11
79	ASF361	std	hypothetical_protein	35.4	2.2e-59
80	ASF361	std	pyridoxal-5'-phosphate-dependent_protein_beta_subunit	52.6	2.0e-78
81	ASF361	efs	transposase|mutator_family	97.7	9.9e-16
82	ASF361	ldb	hypothetical_protein	41.2	5.0e-13
83	ASF457	lmoz	dna_adenine_methylase	56.4	3.7e-17
84	ASF457	lmoz	dna_adenine_methylase	59.3	1.6e-210
85	ASF457	lmoz	hypothetical_protein	43.3	1.3e-56
86	ASF492	rob	site-specific_recombinases|dna_invertase_pin_homologs	88.7	5.8e-198
87	ASF492	cls	hypothetical_protein	36.2	1.9e-14
88	ASF492	esr	site-specific_recombinases|dna_invertase_pin_homologs	67.0	2.3e-203
89	ASF492	rho	hypothetical_protein	36.4	2.7e-08
90	ASF492	rho	hypothetical_protein	62.5	2.1e-05
91	ASF492	csr	arac-type_dna-binding_domain-containing_protein	27.2	1.3e-06
92	ASF492	bad	trra|arac_family_transcriptional_regulator	40.6	1.1e-17
93	ASF492	cdc	xylose_transporter	53.7	2.3e-140
94	ASF492	rob	beta-galactosidase_(ec:3.2.1.23)	64.6	4.4e-265
95	ASF492	cct	transposase|is605_orfb_family	78.6	3.4e-62
96	ASF492	cpy	hypothetical_protein	43.6	6.4e-41
97	ASF492	ral	hypothetical_protein	55.0	2.6e-23
98	ASF492	faa	hypothetical_protein	57.3	2.2e-17
99	ASF492	cbj	beta-lactamase_repressor_blai	30.8	1.5e-10
100	ASF492	vpo	hypothetical_protein	30.0	1.1e-04
101	ASF492	ert	hypothetical_protein	31.7	3.5e-15
102	ASF492	ere	hypothetical_protein	53.6	1.3e-06
103	ASF492	cso	hypothetical_protein	51.2	9.1e-65
104	ASF492	csr	transcriptional_regulator	55.0	1.1e-87
105	ASF492	pru	hydrolase_domain-containing_protein	37.8	1.1e-48
106	ASF492	coo	abc-type_transport_system|involved_in_lipoprotein_release	32.1	7.4e-80
107	ASF492	cso	protein_of_unknown_function_(duf3737).	82.8	2.2e-141
108	ASF492	scc	hypothetical_protein	47.7	3.5e-30
109	ASF492	scc	hypothetical_protein	54.1	4.3e-28
110	ASF492	elm	hypothetical_protein	66.0	1.3e-70
111	ASF492	bpb	peptidase_s15	74.3	1.2e-53
112	ASF492	bpb	peptidase_s15	40.8	2.1e-02
113	ASF492	cct	putative_transposase|yhga-like.	47.3	4.9e-13
114	ASF492	rum	hypothetical_protein	31.5	3.9e-35
115	ASF492	rum	hypothetical_protein	56.3	7.4e-31
116	ASF492	aoe	hypothetical_protein	54.9	3.4e-46
117	ASF492	rbr	transcriptional_regulator|arac_family	66.4	8.8e-40
118	ASF492	bcx	salavaricin_two-component_response_regulator	60.4	4.3e-62
119	ASF492	rim	signal_transduction_histidine_kinase	67.7	1.9e-108
120	ASF492	rim	signal_transduction_histidine_kinase	67.1	4.0e-85
121	ASF492	dal	transposase_is4_family_protein	32.5	1.7e-47
122	ASF492	cyj	putative_transposase	33.8	8.2e-66
123	ASF492	esr	site-specific_recombinases|dna_invertase_pin_homologs	54.1	1.2e-68
124	ASF492	bmor	sterile_alpha_and_tir_motif-containing_protein_1-like	42.1	1.7e-15
125	ASF492	rob	hypothetical_protein	61.9	4.8e-20
126	ASF492	sbr	hypothetical_protein	53.6	2.9e-29
127	ASF492	sbr	hypothetical_protein	50.0	2.2e-16
128	ASF492	sezo	hypothetical_protein	57.4	6.2e-10
129	ASF492	tmt	integrase_catalytic_subunit	35.0	1.4e-07
130	ASF492	ert	hypothetical_protein	41.1	1.3e-22
131	ASF492	ert	response_regulator_of_the_lytr/algr_family	51.0	7.4e-69
132	ASF492	rho	hypothetical_protein	50.3	9.2e-38
133	ASF492	era	histidine_kinase-|dna_gyrase_b-	58.6	3.0e-84
134	ASF492	era	membrane_protein_putatively_involved_in_post-translational_modification_of_the_autoinducing_quorum-sensing_peptide	44.0	8.8e-38
135	ASF492	era	hypothetical_protein	65.0	5.3e-71
136	ASF492	ccb	hypothetical_protein	45.0	6.5e-56
137	ASF492	ere	hypothetical_protein	80.9	9.1e-166
138	ASF492	bprs	hypothetical_protein	76.6	7.5e-42
139	ASF492	eel	mn-dependent_transcriptional_regulator	64.0	1.3e-35
140	ASF492	rum	transposase_and_inactivated_derivatives	63.2	1.6e-37
141	ASF492	rho	transposase	36.9	3.5e-14
142	ASF492	lmh	gp33	33.3	1.2e-05
143	ASF492	pph	transposase_is200-family_protein	85.3	7.2e-09
144	ASF492	rto	response_regulator_of_the_lytr/algr_family	45.4	2.5e-53
145	ASF492	rto	histidine_kinase-|dna_gyrase_b-	28.3	3.5e-39
146	ASF492	rto	histidine_kinase-|dna_gyrase_b-	42.5	1.9e-24
147	ASF492	amt	accessory_gene_regulator_b	30.4	1.0e-10
148	ASF492	tpi	serine_acetyltransferase|plasmid	63.6	2.4e-56
149	ASF492	pph	transposase_is200-family_protein	73.1	4.3e-28
150	ASF492	csb	4'-phosphopantetheinyl_transferase_family_protein	40.0	1.3e-14
151	ASF492	eel	transposase	54.7	4.5e-95
152	ASF492	rim	transposase_and_inactivated_derivatives	63.4	6.8e-32
153	ASF492	bprs	site-specific_recombinase_xerd	60.9	2.4e-56
154	ASF492	cle	hypothetical_protein	26.8	3.1e-27
155	ASF492	rho	hypothetical_protein	76.9	6.0e-146
156	ASF492	ert	hypothetical_protein	76.5	1.9e-49
157	ASF492	aoe	helix-turn-helix_type_11_domain-containing_protein	69.0	3.9e-15
158	ASF492	ova	putative_site-specific_recombinase	38.6	5.9e-21
159	ASF492	bpb	rna-dependent_dna_polymerase	82.8	2.4e-33
160	ASF492	dsy	hypothetical_protein	62.0	6.7e-18
161	ASF492	dor	hypothetical_protein	34.8	5.2e-20
162	ASF492	dae	uvrd/rep_helicase	48.6	2.5e-110
163	ASF492	cls	hypothetical_protein	52.2	2.2e-27
164	ASF492	cls	hypothetical_protein	45.8	3.4e-42
165	ASF492	ssg	prevent-host-death_protein	59.5	2.6e-21
166	ASF492	ssg	addiction_module_toxin|txe/yoeb_family	61.6	1.4e-25
167	ASF492	ova	hypothetical_protein	26.4	2.8e-21
168	ASF492	mru	mate_efflux_family_protein	26.0	2.9e-47
169	ASF492	fsu	anti-sigma-factor_antagonist	57.7	6.2e-22
170	ASF492	sri	hypothetical_protein	52.3	7.2e-34
171	ASF492	rim	predicted_transcriptional_regulators	56.4	2.6e-22
172	ASF492	cct	single-strand_binding_protein	62.9	1.0e-40
173	ASF492	rca	clpx|atp-dependent_protease_atp-binding_subunit_clpx	35.8	7.4e-36
174	ASF492	eha	hypothetical_protein	31.5	5.1e-07
175	ASF492	ppm	hypothetical_protein	49.0	4.3e-20
176	ASF492	csh	hypothetical_protein	38.9	1.8e-28
177	ASF492	rix	phd_yefm.	76.2	1.4e-24
178	ASF492	rix	death-on-curing_family_protein	64.8	6.4e-33
179	ASF492	ddh	hypothetical_protein	40.7	6.2e-31
180	ASF492	swo	regulators_of_stationary/sporulation_gene_expression	53.7	1.8e-19
181	ASF492	tto	putative_toxin-antitoxin_system_toxin_component|pin_family	50.8	5.6e-31
182	ASF492	rix	hypothetical_protein	27.8	1.4e-16
183	ASF492	euc	dna_methylase	65.3	4.2e-167
184	ASF492	euc	dna_methylase	44.5	7.4e-63
185	ASF492	euc	dna_methylase	38.4	3.1e-16
186	ASF492	ova	putative_helicase	72.7	2.0e-150
187	ASF492	ckl	hypothetical_protein	46.6	1.1e-71
188	ASF492	bfo	hypothetical_protein	34.8	1.2e-06
189	ASF492	csh	hypothetical_protein	54.9	2.4e-42
190	ASF492	cbl	hypothetical_protein	24.5	7.1e-50
191	ASF492	rum	site-specific_recombinases|dna_invertase_pin_homologs	67.6	2.5e-48
192	ASF492	cdc	transposon_tn21_resolvase	67.7	1.6e-28
193	ASF492	mis	hypothetical_protein	54.7	1.3e-17
194	ASF492	mis	hypothetical_protein	40.0	1.4e-08
195	ASF492	efc	int|integrase	57.4	1.8e-128
196	ASF492	bcer	beta-lactamase_inhibitory_protein_ii	38.3	7.1e-45
197	ASF492	bcer	beta-lactamase_inhibitory_protein_ii	39.0	4.6e-36
198	ASF492	bcer	beta-lactamase_inhibitory_protein_ii	38.1	6.4e-30
199	ASF492	bcer	beta-lactamase_inhibitory_protein_ii	34.1	1.2e-23
200	ASF492	bcer	beta-lactamase_inhibitory_protein_ii	37.9	5.1e-19
201	ASF492	bcer	beta-lactamase_inhibitory_protein_ii	39.2	1.1e-13
202	ASF492	cbn	mutator_family_transposase	43.2	1.7e-16
203	ASF492	rum	hypothetical_protein	59.7	4.1e-16
204	ASF492	lbi	hypothetical_protein	54.4	2.2e-39
205	ASF492	eel	lipopolysaccharide_transport_system_permease	60.1	5.6e-82
206	ASF492	dte	group_1_glycosyl_transferase	36.9	5.5e-96
207	ASF492	dai	methionine_biosynthesis_protein_metw	35.1	5.2e-21
208	ASF492	mtp	methyltransferase_type_11	37.7	1.5e-12
209	ASF492	rix	putative_transposase|yhga-like.	45.2	3.2e-26
210	ASF492	csr	glycosyl_transferase_group_1	54.4	5.5e-119
211	ASF492	cso	conserved_hypothetical_protein_(putative_transposase_or_invertase)	62.5	9.7e-22
212	ASF492	esu	haloacid_dehalogenase_superfamily|subfamily_ia	49.4	1.1e-59
213	ASF492	cso	conserved_hypothetical_protein_(putative_transposase_or_invertase)	68.1	3.3e-11
214	ASF492	bcg	resolvase_domain_protein	48.4	1.9e-71
215	ASF492	pph	transposase_is200-family_protein	64.7	4.7e-53
216	ASF492	bprs	glycosyltransferases_involved_in_cell_wall_biogenesis_(ec:2.4.1.83)	45.2	2.5e-43
217	ASF492	rix	carbohydrate_abc_transporter_membrane_protein_1|cut1_family_(tc_3.a.1.1.-)	65.1	6.9e-70
218	ASF492	eha	extracellular_solute-binding_protein	52.9	5.6e-63
219	ASF492	rch	gdp-mannose_4,6-dehydratase_(ec:4.2.1.47)	85.9	3.9e-106
220	ASF492	rob	hypothetical_protein	24.7	1.0e-12
221	ASF492	rto	rna_polymerase_sigma_factor|sigma-70_family	41.5	4.3e-28
222	ASF492	rix	hypothetical_protein	67.6	1.5e-35
223	ASF492	bpu	hypothetical_protein	27.7	1.2e-12
224	ASF492	rim	transposase_and_inactivated_derivatives	64.0	3.1e-48
225	ASF492	era	site-specific_recombinases|dna_invertase_pin_homologs	25.5	6.3e-10
226	ASF492	era	site-specific_recombinases|dna_invertase_pin_homologs	43.2	3.5e-72
227	ASF492	era	site-specific_recombinases|dna_invertase_pin_homologs	37.9	9.3e-53
228	ASF492	rim	site-specific_recombinases|dna_invertase_pin_homologs	59.9	3.1e-44
229	ASF492	era	site-specific_recombinases|dna_invertase_pin_homologs	55.1	2.9e-131
230	ASF492	era	site-specific_recombinases|dna_invertase_pin_homologs	79.7	4.2e-74
231	ASF492	rum	phage_tail_tape_measure_protein|tp901_family	86.0	3.0e-47
232	ASF492	sbr	hypothetical_protein	45.8	3.4e-71
233	ASF492	fri	glycoside_hydrolase_family_protein	42.2	2.0e-114
234	ASF492	mps	glycosyl_hydrolase	37.0	1.1e-44
235	ASF492	fpr	pts_system_iia_component|glc_family_(tc_4.a.1)_(ec:2.7.1.69)	54.7	2.1e-38
236	ASF492	sga	pts_system_beta-glucoside_specific_transporter_subunit_iibc	54.7	1.3e-24
237	ASF492	bao	yjic|glycosyltransferase_(ec:2.4.1.-)	37.6	1.7e-65
238	ASF492	csr	transcriptional_regulator|rpir_family	24.3	6.2e-16
239	ASF492	lsp	s-layer_protein	31.9	1.4e-10
240	ASF492	amt	hypothetical_protein	40.8	3.5e-87
241	ASF492	bcg	hypothetical_protein	48.3	5.5e-29
242	ASF492	ert	transposase_and_inactivated_derivatives	57.4	8.0e-76
243	ASF492	smut	atp-binding_protein	48.6	1.2e-70
244	ASF492	cle	hypothetical_protein	33.9	2.7e-39
245	ASF492	ddh	response_regulator_with_chey-like_receiver_domain_and_winged-helix_dna-binding_domain	50.8	5.9e-30
246	ASF492	cdf	abc_transporter_permease	42.1	2.2e-186
247	ASF492	cdf	abc_transporter_atp-binding_protein_(ec:3.6.3.-)	72.9	1.3e-85
248	ASF492	cdc	two-component_sensor_histidine_kinase	33.8	1.3e-53
249	ASF492	cdf	two-component_response_regulator	61.3	1.8e-77
250	ASF492	ert	hypothetical_protein	68.5	9.2e-79
251	ASF492	ssg	addiction_module_antitoxin|relb/dinj_family	72.2	2.5e-30
252	ASF492	sanc	hypothetical_protein	71.4	1.3e-31
253	ASF492	emi	putative_hydrolase_or_acyltransferase	38.0	1.4e-35
254	ASF492	bprm	transposase|is605_orfb_family	77.9	2.3e-28
255	ASF492	cso	retron-type_reverse_transcriptase	93.0	8.7e-57
256	ASF492	eha	hypothetical_protein	53.6	4.9e-20
257	ASF492	anb	isas1_family_transposase	43.5	2.5e-79
258	ASF492	rob	putative_efflux_protein|mate_family	45.3	1.5e-101
259	ASF492	bprs	predicted_transcriptional_regulator_containing_an_hth_domain_and_an_uncharacterized_domain_shared_with_the_mammalian_protein_schlafen_(ec:3.6.1.-)	70.2	5.7e-68
260	ASF492	axl	6-phospho-beta-glucosidase_(ec:3.2.1.86)	75.6	9.9e-53
261	ASF492	bfi	hypothetical_protein	64.3	1.4e-09
262	ASF492	csh	ecf_subfamily_rna_polymerase_sigma-24_subunit	43.8	1.7e-36
263	ASF492	csh	hypothetical_protein	32.2	1.0e-20
264	ASF492	rix	hypothetical_protein	73.3	2.5e-116
265	ASF492	clj	dehydrogenase	46.2	1.9e-22
266	ASF492	rum	putative_transposase|yhga-like.	47.0	2.1e-67
267	ASF492	mew	radical_sam_domain-containing_protein	23.9	8.8e-15
268	ASF492	efau	uvra|excinuclease_abc_subunit_a_(ec:3.1.25.-)	47.5	5.4e-78
269	ASF492	aoe	excinuclease_abc_subunit_a	40.7	7.0e-71
270	ASF492	tbe	radical_sam_domain_protein	42.7	1.9e-121
271	ASF492	ppy	hypothetical_protein	51.2	6.1e-22
272	ASF492	rto	abc-type_multidrug_transport_system|atpase_component	70.1	9.2e-72
273	ASF492	csh	xre_family_transcriptional_regulator	46.6	2.5e-13
274	ASF492	zpr	hypothetical_protein	47.2	4.7e-27
275	ASF492	tco	esterase/lipase	34.0	6.9e-08
276	ASF492	rum	putative_transposase|yhga-like.	48.0	1.7e-70
277	ASF492	pmw	transposase	54.2	5.6e-16
278	ASF492	lil	serine/threonine_kinase	22.8	7.7e-04
279	ASF492	cbn	pyrb|aspartate_carbamoyltransferase_(ec:2.1.3.2)	35.9	5.0e-43
280	ASF492	ava	merr_family_transcriptional_regulator	38.9	3.3e-43
281	ASF492	cbe	gntr_family_transcriptional_regulator	54.2	1.1e-28
282	ASF492	cah	abc_transporter_related_protein	40.6	2.9e-19
283	ASF492	dmi	multidrug_abc_transporter_atpase	54.7	5.8e-40
284	ASF492	dor	hypothetical_protein	24.3	2.0e-04
285	ASF492	lba	transposase	49.6	1.3e-63
286	ASF492	rix	cysteine-rich_secretory_protein_family./fibronectin_type_iii_domain.	33.8	1.0e-11
287	ASF492	str	glycoside_hydrolase_family_protein	55.8	1.8e-35
288	ASF492	mmk	transcriptional_regulator|rpir_family	34.7	6.7e-05
289	ASF492	clj	dna-binding_protein	43.8	1.7e-13
290	ASF492	cso	hypothetical_protein	61.8	2.1e-31
291	ASF492	ova	putative_two-component_histidine_kinase	42.4	4.2e-41
292	ASF492	cdf	two-component_response_regulator	45.1	1.7e-54
293	ASF492	ert	abc-type_antimicrobial_peptide_transport_system|atpase_component	89.6	1.9e-60
294	ASF492	coo	his_kinase_a_(phosphoacceptor)_domain./histidine_kinase-|dna_gyrase_b-	83.0	1.9e-35
295	ASF492	cki	kwg_repeat_protein	37.9	4.9e-68
296	ASF492	cki	kwg_repeat_protein	39.3	1.4e-67
297	ASF492	cki	kwg_repeat_protein	35.8	3.4e-61
298	ASF492	cki	kwg_repeat_protein	36.9	1.2e-58
299	ASF492	cki	kwg_repeat_protein	36.7	1.9e-51
300	ASF492	cki	kwg_repeat_protein	32.7	1.4e-49
301	ASF492	cki	kwg_repeat_protein	35.7	6.1e-34
302	ASF492	cki	kwg_repeat_protein	35.4	1.4e-25
303	ASF492	cki	kwg_repeat_protein	29.1	4.1e-22
304	ASF492	csh	glycerate_kinase_(ec:2.7.1.31)	52.9	1.3e-109
305	ASF492	str	glycoside_hydrolase_family_protein	46.6	1.8e-81
306	ASF492	cdc	alpha-mannosidase	67.1	3.0e-202
307	ASF492	ccb	hypothetical_protein	26.8	3.8e-16
308	ASF492	sgy	ecf_subfamily_rna_polymerase_sigma-24_subunit	37.0	4.2e-29
309	ASF492	bpb	hypothetical_protein	78.0	2.8e-116
310	ASF492	shi	hypothetical_protein	53.5	9.2e-38
311	ASF492	mer	hypothetical_protein	71.7	1.7e-61
312	ASF492	mer	hypothetical_protein	77.8	7.1e-77
313	ASF492	mer	hypothetical_protein	77.7	3.6e-171
314	ASF492	str	tetr_family_transcriptional_regulator	47.8	3.2e-43
315	ASF492	rho	putative_adenine-specific_dna_methylase	60.9	6.6e-26
316	ASF492	bha	transposase	40.5	1.5e-08
317	ASF492	efa	group_ii_intron_reverse_transcriptase_maturase	58.8	3.4e-30
318	ASF492	rum	hypothetical_protein	90.3	9.5e-135
319	ASF492	bprl	integrase_core_domain.	68.0	3.9e-133
320	ASF492	cls	hypothetical_protein	74.9	1.2e-71
321	ASF492	rbr	type_iv_secretory_pathway|vird4_components	87.1	6.5e-37
322	ASF492	rob	response_regulators_consisting_of_a_chey-like_receiver_domain_and_a_winged-helix_dna-binding_domain	71.2	9.6e-84
323	ASF492	bprl	abc-type_multidrug_transport_system|atpase_component	74.1	4.0e-125
324	ASF492	rho	hypothetical_protein	32.9	2.4e-39
325	ASF492	bprl	signal_transduction_histidine_kinase	60.6	1.0e-96
326	ASF492	cdf	hypothetical_protein	57.8	2.4e-26
327	ASF492	ljo	lj928_prophage_major_head_protein	36.6	4.2e-05
328	ASF492	rim	telomeric_repeat-binding_factor_2.	36.9	7.0e-34
329	ASF492	ckl	prophage_antirepressor	54.4	3.2e-43
330	ASF492	bprs	transposase_dde_domain.	65.8	2.4e-131
331	ASF492	cct	predicted_transcriptional_regulator_containing_an_hth_domain_and_an_uncharacterized_domain_shared_with_the_mammalian_protein_schlafen_(ec:3.6.1.-)	74.5	1.5e-121
332	ASF492	dsy	hypothetical_protein	50.1	1.2e-190
333	ASF492	dhd	hypothetical_protein	37.7	6.8e-67
334	ASF492	bprl	hypothetical_protein	37.6	2.4e-16
335	ASF492	lba	abc_transporter	68.9	7.4e-61
336	ASF492	pnu	methyltransferase_type_11	36.4	6.8e-103
337	ASF492	efa	hypothetical_protein	25.6	7.1e-14
338	ASF492	rix	glycosyltransferases_involved_in_cell_wall_biogenesis	58.7	3.6e-105
339	ASF492	bprl	protein_of_unknown_function_(duf1703)./predicted_aaa-atpase.	62.5	1.3e-10
340	ASF492	cct	glycosyltransferases_involved_in_cell_wall_biogenesis	69.5	2.5e-128
341	ASF492	ppy	hypothetical_protein	32.9	1.1e-81
342	ASF492	ert	hypothetical_protein	54.9	1.1e-54
343	ASF492	ccl	uridine_phosphorylase	44.9	9.4e-59
344	ASF492	cce	merr_family_transcriptional_regulator	36.4	1.5e-18
345	ASF492	geo	short-chain_dehydrogenase/reductase_sdr	51.6	3.0e-06
346	ASF492	lmh	short-chain_dehydrogenase/reductase_sdr	53.8	1.6e-30
347	ASF492	clj	transcriptional_regulator	46.8	2.1e-52
348	ASF492	clj	membrane-associated_atp-binding_domain-containing_protein	28.2	3.5e-38
349	ASF492	rho	transposase_is66	60.3	9.5e-21
350	ASF492	ert	hypothetical_protein	73.7	7.7e-65
351	ASF492	rim	hypothetical_protein	47.3	9.6e-37
352	ASF492	dgi	hypothetical_protein	30.9	1.2e-06
353	ASF492	sgy	hypothetical_protein	58.8	2.6e-39
354	ASF492	ere	hypothetical_protein	67.3	2.1e-116
355	ASF492	rho	xre_family_transcriptional_regulator_protein	74.3	8.7e-38
356	ASF492	rho	hypothetical_protein	76.5	2.5e-183
357	ASF492	rho	mobilization_protein	80.5	9.0e-46
358	ASF492	fpa	site-specific_recombinases|dna_invertase_pin_homologs	47.2	7.7e-74
359	ASF492	ert	hypothetical_protein	59.6	2.4e-50
360	ASF492	twi	transposase_is111a/is1328/is1533	51.0	3.0e-118
361	ASF492	rho	chromosome_partitioning_protein_para	85.4	2.1e-122
362	ASF492	rho	parb-like_partition_protein	79.0	3.4e-56
363	ASF492	ckl	phage-related_dna_polymerase_(ec:2.7.7.7)	68.5	2.3e-62
364	ASF492	bprl	hypothetical_protein	47.9	2.6e-13
365	ASF492	rix	mu_transposase|c-terminal./integrase_core_domain.	56.5	2.0e-52
366	ASF492	tto	site-specific_recombinase_xerd	39.1	5.9e-07
367	ASF492	rix	type_ii_secretory_pathway|component_exea_(predicted_atpase)	65.7	5.8e-99
368	ASF492	rix	mu_transposase|c-terminal./integrase_core_domain.	53.3	4.0e-140
369	ASF492	ert	dna_methylase	80.0	5.0e-31
370	ASF492	rbr	site-specific_recombinases|dna_invertase_pin_homologs	89.1	1.9e-142
371	ASF492	rbr	predicted_p-loop_atpase_and_inactivated_derivatives	85.0	2.1e-101
372	ASF492	rho	hypothetical_protein	78.9	2.0e-100
373	ASF492	cso	dna_primase_(bacterial_type)	63.2	2.4e-36
374	ASF492	cso	plasmid_mobilization_system_relaxase	84.4	5.4e-154
375	ASF492	cso	hypothetical_protein	60.5	2.0e-20
376	ASF492	rto	hypothetical_protein	76.9	4.4e-33
377	ASF492	rob	deor-like_helix-turn-helix_domain.	68.5	1.1e-35
378	ASF492	rob	helix-turn-helix.	55.2	9.5e-78
379	ASF492	cls	hypothetical_protein	51.4	3.8e-66
380	ASF492	csr	hypothetical_protein	90.3	3.7e-32
381	ASF492	rto	dnaj_domain.	59.6	1.3e-09
382	ASF492	cyh	pentapeptide_repeat-containing_protein	77.1	5.5e-05
383	ASF492	cyh	pentapeptide_repeat-containing_protein	65.6	6.9e+00
384	ASF492	erh	atp-binding_domain-containing_protein	22.4	4.2e-04
